year,author,title,journal,url
2016,Jin-Yi Cai£¬Pinyan Lu,Erratum to: Signature Theory in Holographic Algorithms,Algorithmica 74(4): 1473-1476 (2016),http://download.springer.com/static/pdf/819/art%253A10.1007%252Fs00453-015-0090-y.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs00453-015-0090-y&token2=exp=1459930836~acl=%2Fstatic%2Fpdf%2F819%2Fart%25253A10.1007%25252Fs00453-015-0090-y.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs00453-015-0090-y*~hmac=5794f99ce0b9e2eae8598d6bc6cb2a436c3f1350833e8c674821d6451cce0f69
2016,Sangxia Huang£¬ Pinyan Lu,A Dichotomy for Real Weighted Holant Problems,Computational Complexity£¬2016£¬25£¨1£©£º255-304,http://link.springer.com/article/10.1007%2Fs00037-015-0118-3
2016,Pinyan Lu£¬ Kuan Yang£¬ Chihao Zhang,FPTAS for Hardcore and Ising Models on Hypergraphs,STACS2016:51:1-51:14,http://drops.dagstuhl.de/opus/volltexte/2016/5752/pdf/52.pdf
2016,Lingxiao Huang£¬Pinyan Lu£¬Chihao Zhang,Canonical Paths for MCMC: from Art to Science.,SODA2016:514-527,http://epubs.siam.org/doi/pdf/10.1137/1.9781611974331.ch38
2015,Xi Chen£¬Martin E.Dyer£¬Leslie Ann Goldberg£¬Mark Jerrum£¬Pinyan Lu£¬Colin McQuillan£¬David Richerby,The complexity of approximating conservative counting CSPs.,J. Comput. Syst. Sci.81(1):311-329(2015),http://ac.els-cdn.com/S0022000014000932/1-s2.0-S0022000014000932-main.pdf?_tid=3845d6f4-fbce-11e5-af94-00000aab0f6b&acdnat=1459930063_9b8b8fc25cff83d5128c6cbccbaa22c0
2015,Pinyan Lu£¬Tao Xiao,Improved Efficiency Guarantees in Auctions with Budgets.,EC2015:397-413,http://delivery.acm.org/10.1145/2770000/2764500/p397-lu.pdf?ip=202.120.2.30&id=2764500&acc=ACTIVE%20SERVICE&key=BF85BBA5741FDC6E%2E17676C47DFB149BF%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&CFID=597871634&CFTOKEN=51363136&__acm__=1459930256_82c6aea4357834f456786a2dafafda10
2015,Jingcheng Liu£¬Pinyan Lu,FPTAS for Counting Monotone CNF.,SODA2015:1531-1548,http://epubs.siam.org/doi/pdf/10.1137/1.9781611973730.101
2015,Jingcheng Liu£¬Pinyan Lu,FPTAS for #BIS with Degree Bounds on One Side.,STOC2015:549-556,http://delivery.acm.org/10.1145/2750000/2746598/p549-liu.pdf?ip=202.120.2.30&id=2746598&acc=ACTIVE%20SERVICE&key=BF85BBA5741FDC6E%2E17676C47DFB149BF%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&CFID=597871634&CFTOKEN=51363136&__acm__=1459930385_f8633a19e0dde756dd6c64d4604899e8
2015,Ning Chen£¬Nikolai Gravin£¬Pinyan Lu,Competitive Analysis via Benchmark Decomposition.,EC2015:363-376,http://delivery.acm.org/10.1145/2770000/2764491/p363-chen.pdf?ip=202.120.2.30&id=2764491&acc=ACTIVE%20SERVICE&key=BF85BBA5741FDC6E%2E17676C47DFB149BF%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&CFID=597871634&CFTOKEN=51363136&__acm__=1459930460_1dc2b9b8414771312b77992dee7245db
2014,Pinyan Lu£¬Jack Snoeyink,Frontiers in algorithmics.,Theor. Comput. Sci.532:1(2014),http://ac.els-cdn.com/S0304397514002655/1-s2.0-S0304397514002655-main.pdf?_tid=fbfaff66-fbce-11e5-8e43-00000aab0f01&acdnat=1459930391_19e4530cfba645cf15b2d9320fc4cd41
2014,Jin-Yi Cai£¬Pinyan Lu£¬Mingji Xia,The complexity of complex weighted Boolean #CSP.,J. Comput. Syst. Sci.80(1):217-236(2014),http://ac.els-cdn.com/S0022000013001414/1-s2.0-S0022000013001414-main.pdf?_tid=3613d2fe-fbcf-11e5-979b-00000aacb35e&acdnat=1459930489_c595aadc57896705a43db5c0760fae09
2014,Ning Chen£¬Nick Gravin£¬Pinyan Lu,Truthful Generalized Assignments via Stable Matching.,Math. Oper. Res.39(3):722-736(2014),http://pubsonline.informs.org/doi/pdf/10.1287/moor.2013.0625
2014,Pinyan Lu£¬Menghui Wang£¬Chihao Zhang,FPTAS for Weighted Fibonacci Gates and Its Applications.,ICALP (1)2014:787-799,http://link.springer.com/chapter/10.1007%2F978-3-662-43948-7_65
2014,Jingcheng Liu£¬Pinyan Lu£¬Chihao Zhang,FPTAS for Counting Weighted Edge Covers.,ESA2014:654-665,http://link.springer.com/chapter/10.1007%2F978-3-662-44777-2_54
2014,Jingcheng Liu£¬Pinyan Lu£¬Chihao Zhang,The Complexity of Ferromagnetic Two-spin Systems with External Fields.,APPROX-RANDOM2014:843-856,http://arxiv.org/pdf/1402.4346v1.pdf
2014,Chengyu Lin£¬Jingcheng Liu£¬Pinyan Lu,A Simple FPTAS for Counting Edge Covers.,SODA2014:341-348,http://epubs.siam.org/doi/pdf/10.1137/1.9781611973402.25
2014,Ning Chen£¬Nick Gravin£¬Pinyan Lu,Optimal competitive auctions,STOC2014:253-262,http://delivery.acm.org/10.1145/2600000/2591855/p253-chen.pdf?ip=202.120.2.30&id=2591855&acc=ACTIVE%20SERVICE&key=BF85BBA5741FDC6E%2E17676C47DFB149BF%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&CFID=597871634&CFTOKEN=51363136&__acm__=1459930945_a52ef7cd532df03ac39e6ac501afdf78
2013,Jin-Yi Cai(#)£¬ Pinyan Lu£¬Mingji Xia,Holographic algorithms by Fibonacci gates,Linear Algebra and Its Applications£¬2013£¬438£¨2£©£º690-707¡£,http://ac.els-cdn.com/S0024379511001625/1-s2.0-S0024379511001625-main.pdf?_tid=4a81b2fa-fbd0-11e5-8b37-00000aacb360&acdnat=1459930952_91aef2875c2c225161735223ca93c85e
2013,Heng Guo£¬Pinyan Lu£¬Leslie G. Valiant,The Complexity of Symmetric Boolean Parity Holant Problems.,SIAM J. Comput.42(1):324-356(2013),http://epubs.siam.org/doi/pdf/10.1137/100815530
2013,Jin-Yi Cai£¬Xi Chen£¬Pinyan Lu,Graph Homomorphisms with Complex Values: A Dichotomy Theorem.,SIAM J. Comput.42(3):924-1029(2013),http://epubs.siam.org/doi/pdf/10.1137/110840194
2013,Pinyan Lu£¬Yitong Yin,Improved FPTAS for Multi-spin Systems.,APPROX-RANDOM2013:639-654,http://link.springer.com/chapter/10.1007%2F978-3-642-40328-6_44
2013,Pinyan Lu£¬Lan Yu,Characterization of Truthful Mechanisms for One-Dimensional Single Facility Location Game with Payments.,WINE2013:333-346,http://link.springer.com/chapter/10.1007%2F978-3-642-45046-4_27
2013,Nick Gravin£¬Pinyan Lu,Competitive Auctions for Markets with Positive Externalities.,ICALP (2)2013:569-580,http://link.springer.com/chapter/10.1007%2F978-3-642-39212-2_50
2013,Liang Li£¬Pinyan Lu£¬Yitong Yin,Correlation Decay up to Uniqueness in Spin Systems.,SODA2013:67-84,http://epubs.siam.org/doi/pdf/10.1137/1.9781611973105.5
2013,Jin-Yi Cai£¬Pinyan Lu£¬Mingji Xia,Dichotomy for Holant* Problems with Domain Size 3.,SODA2013:1278-1295,http://epubs.siam.org/doi/pdf/10.1137/1.9781611973105.93
2013,Xi Chen£¬Martin E. Dyer£¬Leslie Ann Goldberg£¬Mark Jerrum£¬Pinyan Lu£¬Colin McQuillan£¬David Richerby,The complexity of approximating conservative counting CSPs.,STACS2013:148-159,http://drops.dagstuhl.de/opus/volltexte/2013/3930/pdf/18.pdf
2012,Pinyan Lu£¬Changyuan Yu,Worst-Case Nash Equilibria in Restricted Routing.,J. Comput. Sci. Technol.27(4):710-717(2012),http://search.proquest.com/docview/1026730099?accountid=13818
2012,Jin-Yi Cai£¬Pinyan Lu£¬Mingji Xia,Holographic reduction£¬ interpolation and hardness.,Computational Complexity21(4):573-604(2012),http://link.springer.com/article/10.1007%2Fs00037-012-0044-6
2012,Jin-Yi Cai£¬Sangxia Huang£¬Pinyan Lu,From Holant to #CSP and Back: Dichotomy for Holant c Problems.,Algorithmica64(3):511-533(2012),http://link.springer.com/article/10.1007%2Fs00453-012-9626-6
2012,Sungjin Im£¬Pinyan Lu£¬Yayun Wang,Envy-Free Pricing with General Supply Constraints for Unit Demand Consumers.,J. Comput. Sci. Technol.27(4):702-709(2012),http://link.springer.com/article/10.1007%2Fs11390-012-1256-6
2012,Ning Chen£¬Pinyan Lu£¬Hongyang Zhang,Computing the Nucleolus of Matching£¬ Cover and Clique Games.,AAAI2012,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/4979/5464
